DATE,PCE_PC1,CPIAUCSL_PC1,CPILFESL_PC1
1989-08-01,7.50000,4.62185,4.43548
1989-09-01,7.31556,4.43515,4.17001
1989-10-01,6.44169,4.58716,4.31310
1989-11-01,6.21247,4.65503,4.37898
1989-12-01,6.48900,4.63960,4.44444
1990-01-01,7.09016,5.19802,4.42688
1990-02-01,6.88647,5.26316,4.57053
1990-03-01,7.31965,5.23732,4.78807
1990-04-01,6.40700,4.71162,4.85133
1990-05-01,6.30666,4.36540,4.75448
1990-06-01,6.67022,4.67365,4.89130
1990-07-01,6.58170,4.81928,5.10836
1990-08-01,6.28901,5.70281,5.48263
1990-09-01,6.85276,6.16987,5.54273
1990-10-01,6.52246,6.37959,5.35988
1990-11-01,6.27453,6.19539,5.26316
1990-12-01,4.80701,6.25495,5.31915
1991-01-01,2.95655,5.64706,5.60182
1991-02-01,3.71493,5.31250,5.65185
1991-03-01,4.21050,4.82115,5.24345
1991-04-01,3.63660,4.80993,5.14925
1991-05-01,4.16865,5.03486,5.13393
1991-06-01,3.57471,4.69592,4.95929
1991-07-01,3.77581,4.36782,4.78645
1991-08-01,3.13905,3.79939,4.61201
1991-09-01,2.96116,3.39623,4.59519
1991-10-01,2.72309,2.84858,4.43314
1991-11-01,3.40143,3.06657,4.49275
1991-12-01,4.12296,2.98063,4.40115
1992-01-01,6.34470,2.67261,4.01434
1992-02-01,6.02064,2.81899,3.70899
1992-03-01,5.21339,3.18991,3.84342
1992-04-01,5.74339,3.18283,3.83251
1992-05-01,5.72562,3.02360,3.89243
1992-06-01,6.00431,3.01471,3.73766
1992-07-01,6.02118,3.15712,3.72453
1992-08-01,6.34401,3.07467,3.49895
1992-09-01,6.79098,2.99270,3.27755
1992-10-01,7.76408,3.27988,3.54906
1992-11-01,7.41583,3.12046,3.46741
1992-12-01,7.85723,2.96671,3.38632
1993-01-01,6.26729,3.25380,3.44590
1993-02-01,6.23979,3.24675,3.57634
1993-03-01,5.72018,3.01941,3.35846
1993-04-01,6.33910,3.15638,3.48599
1993-05-01,6.34860,3.22119,3.40599
1993-06-01,6.29384,2.99786,3.39905
1993-07-01,6.28092,2.84698,3.18428
1993-08-01,6.16456,2.84091,3.31305
1993-09-01,6.02073,2.76400,3.24105
1993-10-01,5.79037,2.75229,3.09140
1993-11-01,5.89699,2.74455,3.15013
1993-12-01,5.41232,2.81096,3.14171
1994-01-01,5.63043,2.45098,2.93138
1994-02-01,6.36696,2.51572,2.78884
1994-03-01,6.74325,2.65178,2.98408
1994-04-01,6.32084,2.36439,2.70806
1994-05-01,5.58746,2.28849,2.70092
1994-06-01,6.05631,2.49480,2.82709
1994-07-01,5.63226,2.69896,2.88903
1994-08-01,6.28194,2.90055,2.81414
1994-09-01,5.84063,2.96552,3.00850
1994-10-01,6.17940,2.60989,2.86832
1994-11-01,5.96166,2.60274,2.79402
1994-12-01,5.91761,2.59740,2.59235
1995-01-01,5.80358,2.87081,2.91262
1995-02-01,4.71010,2.86299,2.97158
1995-03-01,5.15282,2.78722,2.96201
1995-04-01,4.69054,3.12500,3.15113
1995-05-01,5.64514,3.11864,3.07890
1995-06-01,5.70409,3.04260,3.00512
1995-07-01,5.28746,2.83019,2.99936
1995-08-01,5.09596,2.61745,2.99173
1995-09-01,5.14136,2.54521,2.98413
1995-10-01,4.17628,2.74431,3.10520
1995-11-01,4.76625,2.60347,3.03413
1995-12-01,5.28544,2.53165,3.03222
1996-01-01,4.83386,2.79070,2.95597
1996-02-01,5.81347,2.71703,2.88582
1996-03-01,5.89307,2.84392,2.81426
1996-04-01,6.49871,2.83267,2.61845
1996-05-01,5.89285,2.82709,2.67579
1996-06-01,5.06881,2.82152,2.66915
1996-07-01,5.66778,2.88336,2.66419
1996-08-01,5.38829,2.81230,2.59580
1996-09-01,5.49945,3.00457,2.65105
1996-10-01,6.27456,3.06189,2.51998
1996-11-01,5.84698,3.25309,2.57669
1996-12-01,5.51447,3.37882,2.63642
1997-01-01,6.39833,3.03814,2.50458
1997-02-01,5.86814,3.03226,2.50000
1997-03-01,5.42980,2.76527,2.43309
1997-04-01,4.82527,2.43434,2.61239
1997-05-01,4.52544,2.23785,2.54545
1997-06-01,5.05564,2.23357,2.41838
1997-07-01,5.65319,2.16561,2.41400
1997-08-01,5.91469,2.29008,2.28916
1997-09-01,5.76030,2.21940,2.22222
1997-10-01,5.80276,2.08597,2.27818
1997-11-01,5.79122,1.89036,2.15311
1997-12-01,5.82865,1.69705,2.27001
1998-01-01,5.15237,1.63112,2.26460
1998-02-01,5.33309,1.44020,2.26056
1998-03-01,5.42884,1.37672,2.25653
1998-04-01,6.02275,1.43840,2.13144
1998-05-01,6.91733,1.68856,2.18676
1998-06-01,6.87088,1.62297,2.24321
1998-07-01,6.14908,1.74564,2.23925
1998-08-01,6.04976,1.61692,2.47350
1998-09-01,6.49624,1.42680,2.35018
1998-10-01,6.40509,1.48607,2.22743
1998-11-01,6.25850,1.48423,2.34192
1998-12-01,6.64781,1.60692,2.45327
1999-01-01,6.74880,1.66667,2.33100
1999-02-01,6.55858,1.66667,2.15241
1999-03-01,6.65530,1.72840,2.03252
1999-04-01,7.10769,2.28113,2.20290
1999-05-01,6.75243,2.09102,2.08213
1999-06-01,6.61819,1.96560,1.96305
1999-07-01,6.75042,2.14461,2.07493
1999-08-01,6.86751,2.26438,1.89655
1999-09-01,7.05545,2.62997,2.06659
1999-10-01,6.87804,2.56254,2.12156
1999-11-01,7.20318,2.62035,2.05950
1999-12-01,7.75060,2.67640,1.88141
2000-01-01,7.72156,2.79296,2.10706
2000-02-01,8.62572,3.21797,2.16401
2000-03-01,9.02495,3.76214,2.44735
2000-04-01,7.73611,3.01386,2.26886
2000-05-01,7.66355,3.13253,2.37960
2000-06-01,7.77279,3.73494,2.54813
2000-07-01,7.64839,3.59928,2.48447
2000-08-01,7.43695,3.35129,2.59447
2000-09-01,7.86190,3.45650,2.53093
2000-10-01,7.52410,3.45033,2.52667
2000-11-01,7.15028,3.44418,2.63453
2000-12-01,6.28650,3.43602,2.57415
2001-01-01,6.79362,3.72120,2.56553
2001-02-01,5.68276,3.52941,2.78707
2001-03-01,4.63920,2.98246,2.61111
2001-04-01,4.86742,3.21826,2.66223
2001-05-01,5.11349,3.56308,2.54566
2001-06-01,4.78442,3.19396,2.70569
2001-07-01,4.63618,2.72148,2.69972
2001-08-01,4.68778,2.72148,2.63881
2001-09-01,1.71878,2.59217,2.63302
2001-10-01,4.62880,2.12766,2.62870
2001-11-01,3.94367,1.89437,2.73075
2001-12-01,3.08535,1.60367,2.78232
2002-01-01,2.82222,1.19590,2.61011
2002-02-01,3.19061,1.13636,2.54881
2002-03-01,3.52595,1.36286,2.43638
2002-04-01,4.40164,1.64399,2.48514
2002-05-01,3.34761,1.24083,2.53643
2002-06-01,3.57582,1.06922,2.25806
2002-07-01,4.30651,1.46561,2.19957
2002-08-01,4.08470,1.74746,2.35672
2002-09-01,5.48737,1.51600,2.24479
2002-10-01,3.08198,2.02703,2.18783
