DATE,UNRATE_CH1,GDPC1_PC1
1949-01-01,0.9333333333333334,0.94321
1949-04-01,2.2000000000000000,-1.03492
1949-07-01,2.9333333333333333,-0.58285
1949-10-01,3.1333333333333334,-1.52733
1950-01-01,1.7333333333333333,3.77286
1950-04-01,-0.3000000000000000,7.30336
1950-07-01,-2.0666666666666667,10.31016
1950-10-01,-2.7333333333333334,13.37239
1951-01-01,-2.9000000000000000,10.56488
1951-04-01,-2.4666666666666667,9.14992
1951-07-01,-1.4666666666666666,7.25300
1951-10-01,-0.8666666666666666,5.46816
1952-01-01,-0.4333333333333333,5.16533
1952-04-01,-0.1333333333333333,3.59627
1952-07-01,0.0666666666666666,2.23736
1952-10-01,-0.5333333333333334,5.36408
1953-01-01,-0.3666666666666667,6.18988
1953-04-01,-0.4000000000000000,6.78199
1953-07-01,-0.5000000000000000,5.42099
1953-10-01,0.8666666666666667,0.52406
1954-01-01,2.5666666666666667,-1.78193
1954-04-01,3.2333333333333333,-2.42878
1954-07-01,3.2333333333333334,-0.76833
1954-10-01,1.6333333333333333,2.72862
1955-01-01,-0.5333333333333334,6.17020
1955-04-01,-1.4000000000000000,7.78024
1955-07-01,-1.8666666666666667,8.01592
1955-10-01,-1.1000000000000000,6.57902
1956-01-01,-0.7000000000000000,3.21695
1956-04-01,-0.2000000000000000,2.40346
1956-07-01,0.0333333333333333,0.94797
1956-10-01,-0.1000000000000000,1.99683
1957-01-01,-0.1000000000000000,3.04976
1957-04-01,-0.1000000000000000,1.98098
1957-07-01,0.1000000000000000,3.07278
1957-10-01,0.8000000000000000,0.35470
1958-01-01,2.3666666666666667,-2.87229
1958-04-01,3.2666666666666667,-2.01954
1958-07-01,3.1000000000000000,-0.72596
1958-10-01,1.4333333333333334,2.65733
1959-01-01,-0.4666666666666667,7.41511
1959-04-01,-2.2666666666666667,9.11883
1959-07-01,-2.0666666666666666,6.72622
1959-10-01,-0.7666666666666667,4.58494
1960-01-01,-0.7000000000000000,4.92380
1960-04-01,0.1333333333333333,2.05910
1960-07-01,0.2666666666666666,2.48766
1960-10-01,0.6666666666666667,0.88510
1961-01-01,1.6666666666666667,-0.66752
1961-04-01,1.7666666666666667,1.56578
1961-07-01,1.2333333333333334,3.01153
1961-10-01,-0.0666666666666667,6.39750
1962-01-01,-1.1666666666666667,7.56916
1962-04-01,-1.4666666666666667,6.73027
1962-07-01,-1.2000000000000000,6.00687
1962-10-01,-0.6666666666666667,4.30985
1963-01-01,0.1333333333333334,3.60111
1963-04-01,0.2000000000000000,3.82459
1963-07-01,-0.0666666666666667,4.81870
1963-10-01,0.0333333333333334,5.15981
1964-01-01,-0.3000000000000000,6.21734
1964-04-01,-0.5333333333333333,6.18231
1964-07-01,-0.5000000000000000,5.52129
1964-10-01,-0.6000000000000000,5.15781
1965-01-01,-0.5666666666666667,5.47830
1965-04-01,-0.5333333333333333,5.66027
1965-07-01,-0.6333333333333333,6.34748
1965-10-01,-0.8666666666666667,8.46227
1966-01-01,-1.0333333333333333,8.47702
1966-04-01,-0.8333333333333334,7.48934
1966-07-01,-0.6000000000000000,6.04211
1966-10-01,-0.4000000000000000,4.50440
1967-01-01,-0.0333333333333334,2.92507
1967-04-01,0.0000000000000000,2.63774
1967-07-01,0.0333333333333333,2.73874
1967-10-01,0.2000000000000000,2.67093
1968-01-01,-0.1000000000000000,3.84482
1968-04-01,-0.2666666666666666,5.51468
1968-07-01,-0.2666666666666667,5.33535
1968-10-01,-0.5000000000000000,4.95786
1969-01-01,-0.3333333333333333,4.46943
1969-04-01,-0.1333333333333334,3.06478
1969-07-01,0.0333333333333334,2.94761
1969-10-01,0.1666666666666667,2.04421
1970-01-01,0.7666666666666667,0.32279
1970-04-01,1.3333333333333334,0.16112
1970-07-01,1.6000000000000000,0.42134
1970-10-01,2.2666666666666666,-0.16735
1971-01-01,1.7666666666666666,2.69716
1971-04-01,1.1333333333333333,3.10644
1971-07-01,0.8666666666666666,3.00528
1971-10-01,0.1000000000000000,4.36555
1972-01-01,-0.1666666666666666,3.47251
1972-04-01,-0.2000000000000000,5.25138
1972-07-01,-0.4666666666666666,5.37836
1972-10-01,-0.5666666666666666,6.89181
1973-01-01,-0.8333333333333334,7.56118
1973-04-01,-0.7666666666666667,6.31955
1973-07-01,-0.7666666666666667,4.77135
1973-10-01,-0.6000000000000000,4.02406
1974-01-01,0.2000000000000000,0.63900
1974-04-01,0.2666666666666667,-0.20826
1974-07-01,0.8333333333333333,-0.62904
1974-10-01,1.8333333333333333,-1.94576
1975-01-01,3.1333333333333334,-2.29977
1975-04-01,3.6666666666666667,-1.83484
1975-07-01,2.8333333333333334,0.79862
1975-10-01,1.7000000000000000,2.55480
1976-01-01,-0.5333333333333334,6.15430
1976-04-01,-1.3000000000000000,6.17398
1976-07-01,-0.7333333333333334,4.95826
1976-10-01,-0.5333333333333333,4.31152
1977-01-01,-0.2333333333333333,3.22684
1977-04-01,-0.4333333333333334,4.46530
1977-07-01,-0.8333333333333333,5.76999
1977-10-01,-1.1000000000000000,5.01327
1978-01-01,-1.1666666666666667,4.11411
1978-04-01,-1.1333333333333333,6.07793
1978-07-01,-0.8666666666666667,5.24703
1978-10-01,-0.7666666666666667,6.65956
1979-01-01,-0.4666666666666666,6.51045
1979-04-01,-0.3000000000000000,2.65670
1979-07-01,-0.1666666666666666,2.38945
1979-10-01,0.0666666666666667,1.28409
1980-01-01,0.4333333333333333,1.42055
1980-04-01,1.6333333333333333,-0.77507
1980-07-01,1.8000000000000000,-1.62375
